delta_time,delta_radius,E_pro,E_del,R_prompt,R_delayed,,,#NOME?
516096,345.4353333,5.17660284,2.226060152,14653.28711,14969.66406,,,
90112,855.2566528,2.677256346,2.230432272,16316.64063,17108.63281,,,
180224,806.2753296,1.712034702,2.248239756,14331.72656,14148.47168,,,
73728,549.8842163,6.898612499,2.207054615,16831.46875,16492.85547,,,
360448,442.6856995,5.22573185,2.178704262,9823.34082,9735.919922,,,
24576,366.7321777,1.411198616,2.268482208,12663.18359,12317.84375,,,
98304,203.0719299,3.228093863,2.163761616,16471.02148,16300.88477,,,
270336,116.7207947,3.523668766,2.265234232,15294.87012,15384.38184,,,
319488,391.3170166,4.148834705,2.294199228,3147.814209,3307.749023,,,
155648,319.9829712,1.919659376,2.309903145,11318.98828,11151.36035,,,
81920,831.3359985,2.608315229,2.195235014,12192.79004,12871.62695,,,
8192,270.7539063,1.440039873,2.290904999,16034.31641,16304.7334,,,
98304,267.5812988,2.615091801,2.217883825,15908.70508,15709.03027,,,
114688,237.4291077,2.042157888,2.30796504,14889.65332,14734.83594,,,
458752,369.6402893,5.432145119,2.157033443,14007.26953,13686.09961,,,
638976,304.0889282,5.327601433,2.274158955,15260.00391,15328.27637,,,
106496,1193.640869,5.240590572,2.241847754,11846.8125,11850.09473,,,
974848,16393.42578,5.240590572,1.598616838,11846.8125,9590.725586,,,
868352,16509.23242,2.241847754,1.598616838,11850.09473,9590.725586,,,
1048576,16930.61523,2.241847754,2.143395424,11850.09473,9656.548828,,,
24576,165.714859,5.104372501,2.225816727,16165.71875,16005.16113,,,
647168,436.2192993,4.970546246,2.238549709,10619.92383,10646.07227,,,
16384,614.6834106,4.123823166,2.261441708,12150.5498,12729.99219,,,
32768,329.3954773,2.808380604,2.18328023,10081.11816,10000.21582,,,
466944,476.4728699,3.809103966,2.216675282,9222.231445,9113.373047,,,
8192,155.1719666,4.313164234,2.204143763,12786.66016,12934.48633,,,
532480,405.4680786,1.631484985,2.171981573,13222.56055,13388.62598,,,
368640,210.9655304,2.955559492,2.262172461,11212.5,11134.94824,,,
57344,180.4573364,4.787837029,2.263384342,17078.94141,16955.25195,,,
434176,376.6989136,3.823929548,2.131675243,16209.37207,16021.4541,,,
73728,672.9801025,2.746436119,2.205287218,6670.140137,7283.695801,,,
57344,382.6711731,2.496223211,2.15463233,11967.01758,11762.46777,,,
335872,112.1481934,4.580595016,2.335648775,12791.21777,12773.41504,,,
163840,155.8140717,2.912931919,2.264699697,16394.83789,16427.60938,,,
360448,350.3133545,3.886638165,2.223902702,17244.53516,17060.04297,,,
499712,364.5013428,4.031518936,2.165525198,12124.00488,12340.27246,,,
155648,154.2054596,2.865427494,2.279112577,14336.64648,14422.50879,,,
688128,499.6722412,2.435914993,2.22026825,7679.15625,7640.788574,,,
253952,714.9298096,5.586568832,2.29868865,8715.080078,9239.583008,,,
172032,346.2395325,2.285840034,2.200433969,14065.57031,14359.36328,,,
163840,266.1387329,4.861457825,2.253230572,12203.65918,12401.88281,,,
98304,259.3224487,2.808508635,2.212179422,14310.27637,14328.83203,,,
425984,463.8585815,4.24239254,2.19062686,12368.90332,12677.93262,,,
49152,1023.457764,3.68086648,2.203092575,13738.19629,14729.32617,,,
16384,154.4366608,3.791941404,2.3768332,17161.74414,17164.94727,,,
49152,392.4389343,3.153007746,2.264295816,8275.652344,8323.379883,,,
32768,579.7424316,1.484204531,2.270763397,16807.50977,16322.79102,,,
81920,109.0574875,2.599368811,2.304901123,2694.329346,2767.915527,,,
212992,249.1325226,5.708473206,2.305174828,13014.8291,12844.21484,,,
442368,440.2996826,3.529234409,2.259575844,16552.16992,16196.75098,,,
737280,301.0144958,3.039280891,2.161017418,15334.52441,15500.54004,,,
688128,180.5479889,1.46886909,2.371863127,17380.00781,17400,,,
163840,249.4096527,4.074558258,2.330612183,15025.70898,15112.62695,,,
65536,471.1175842,4.74402523,2.204935551,12045.80371,12184.35547,,,
245760,204.6678772,3.109349728,2.199728251,10707.37012,10646.26074,,,
16384,197.5788574,1.773643374,2.132443666,2815.933838,2909.351318,,,
425984,1005.13678,1.711468816,2.282200575,12596.42578,13495.82324,,,
180224,651.2576904,3.191424608,2.360577822,12285.23145,12738.98145,,,
131072,26113.2832,3.191424608,3.03442049,12285.23145,17400,,,
245760,26265.84766,3.191424608,2.224706411,12285.23145,17352.25391,,,
65536,26598.98438,2.360577822,2.224706411,12738.98145,17352.25391,,,
81920,362.7504578,4.561583996,2.322031021,15153.63477,15124.63965,,,
278528,113.8411102,3.633047581,2.263580084,15216.21973,15134.79102,,,
393216,121.225975,1.484481573,2.253205061,16630.97656,16750.66211,,,
65536,251.8953094,3.916917324,2.158640146,17113.83008,17099.625,,,
327680,205.7978973,4.328968525,2.262726545,15569.55762,15400.39063,,,
180224,563.4343262,3.997248888,2.201815605,12732.89551,12739.69629,,,
32768,268.4860229,1.871646881,2.245152235,14645.10742,14903.00781,,,
262144,260.1257935,1.669338584,2.211319447,15941.91699,16131.50977,,,
262144,178.2645721,3.036738634,2.214856386,14326.96387,14325.90918,,,
131072,93.80014038,4.403350353,2.273915291,16607.8125,16570.55469,,,
114688,256.8299866,3.725699186,2.215375185,9048.195313,8873.374023,,,
65536,346.6160889,6.24631691,2.230555534,13393.52832,13461.21777,,,
212992,81.50752258,4.661661148,2.297233105,16288.02051,16338.29883,,,
278528,199.4861908,4.401577473,2.294227123,14443.11426,14295.63379,,,
32768,254.353241,2.684701443,2.310265541,9821.323242,9896.635742,,,
81920,172.8800049,6.982635975,2.248496532,12813.28906,12744.84082,,,
442368,263.0862732,3.989155054,2.197867155,16400.82422,16312.28711,,,
212992,582.559082,2.231133461,2.312110662,13408.53418,13519.60938,,,
409600,103.6822739,4.800609112,2.211031914,15074.16211,15034.63184,,,
212992,176.4914398,1.915272474,2.145010471,12431.24219,12284.74609,,,
229376,375.5133057,5.872169018,2.228514194,14789.56641,14657.70996,,,
262144,316.17276,3.398745298,2.340084553,15258.27832,15382.4873,,,
245760,628.1209106,2.215116501,2.187525272,13675.41602,13255.79785,,,
212992,222.0930023,5.54696703,2.154393673,11269.98633,11420.56641,,,
49152,176.000473,1.782860279,2.25159359,12678.98633,12599.2998,,,
278528,488.2756348,2.871097088,2.177320004,16075.87695,15864.60156,,,
262144,382.8052979,3.98721385,2.138595581,8958.34082,8801.970703,,,
278528,366.2812805,4.233302593,2.227781296,11945.56152,11696.01367,,,
212992,267.7760925,2.192691326,2.18884635,16259.9375,16324.44434,,,
32768,411.164917,2.397516251,2.184485435,8447.789063,8096.116699,,,
114688,106.6131592,2.33448267,2.186275005,14593.99609,14657.24805,,,
114688,710.3632202,1.278478384,2.274348259,15359.12207,15730.51172,,,
671744,334.0493774,2.938396215,2.299342394,17098.69531,17194.64063,,,
16384,444.1270142,3.211285591,2.295148373,10572.43164,10688.36426,,,
458752,487.1966248,2.470922947,2.281967402,11500.82031,11585.17676,,,
49152,338.3309937,4.937954426,2.316184521,17156.45313,16841.05078,,,
212992,324.0124512,3.739506721,2.103540421,17077.28711,17278,,,
98304,783.4763794,3.148966789,2.235207796,13799.37891,13603.07422,,,
360448,247.7977142,1.608221412,2.232402325,11238.40234,11243.68262,,,
81920,510.5834045,3.125300884,2.224217415,12787.55176,12333.6377,,,
147456,387.4310608,1.511161685,2.246316671,16794.94727,16922.92578,,,
245760,360.4450378,3.515651464,2.260256767,10897.17578,11197.55566,,,
98304,865.3614502,1.797202349,2.242743731,12357.20508,12851.12305,,,
229376,4771.435547,1.797202349,5.613555431,12357.20508,14211.29297,,,
671744,4567.219727,1.797202349,2.25797081,12357.20508,14111.01172,,,
131072,4249.178711,2.242743731,5.613555431,12851.12305,14211.29297,,,
573440,4052.035889,2.242743731,2.25797081,12851.12305,14111.01172,,,
98304,231.4475861,2.826175928,2.241013765,15416.71387,15338.90039,,,
475136,431.7461243,3.649163485,2.271605968,8059.399902,8239.569336,,,
163840,360.8384094,2.882043839,2.233855247,3406.238037,3421.14209,,,
180224,179.3887634,3.327502012,2.294343948,14070.5498,14013.34375,,,
294912,270.1021423,3.570279598,2.158166647,15183.0127,14998.24023,,,
98304,187.0305634,6.82653904,2.234345913,8834.450195,8975.75293,,,
196608,505.2640686,2.038232088,2.301497221,12215.44238,11835.17773,,,
491520,26138.23242,2.038232088,3.904250145,12215.44238,15001.75781,,,
491520,26077.92188,2.038232088,2.208907604,12215.44238,14900.5332,,,
294912,25872.52148,2.301497221,3.904250145,11835.17773,15001.75781,,,
294912,25809.83789,2.301497221,2.208907604,11835.17773,14900.5332,,,
294912,183.3790741,1.266090989,2.256739855,17237.44141,17399.95508,,,
147456,479.633606,2.980065107,2.229741812,4969.750977,5176.353516,,,
147456,283.0415955,3.622756481,2.173789024,14405.29492,14601.69727,,,
180224,305.367157,5.995214462,2.344482422,8748.34082,8732.418945,,,
163840,259.126709,4.561839581,2.299360752,12557.98828,12744.60156,,,
327680,570.3398438,3.820331335,2.262448549,11801.82129,11596.50195,,,
147456,306.9658813,3.533759356,2.314463139,12133.9502,12135.55176,,,
81920,488.8668213,3.478998661,2.158820391,8666.527344,8965.003906,,,
327680,733.1496582,1.627201915,2.234952688,12882.0459,12875.70996,,,
212992,376.5453491,3.681075811,5.252542496,9719.893555,10060.04102,,,
688128,416.1424866,4.403041363,2.292673111,9726.844727,9709.801758,,,
393216,312.8478088,4.476625919,2.147046089,5575.91748,5834.231934,,,
589824,219.2841492,2.532925129,2.214153051,14285.36719,14220.78613,,,
262144,101.0309372,2.693953753,2.283037663,10864.2666,10790.58496,,,
278528,183.2197113,5.535638809,2.249462843,15952.0957,15973.63281,,,
540672,248.7841034,5.334840298,2.24545598,15750.38574,15650.73633,,,
32768,349.3995667,5.445769787,2.304287672,5215.436523,5261.716309,,,
131072,596.2959595,2.054214716,2.089345217,13228.15039,13671.56543,,,
245760,104.4759674,2.576407909,2.2907269,5361.149414,5365.055664,,,
16384,448.8318787,7.044201851,2.151251554,7714.509277,8147.069336,,,
65536,362.7878723,3.404283285,2.275560617,12925.37695,13170.6543,,,
49152,471.6373291,4.893086433,2.18313694,4483.327637,4607.54248,,,
49152,131.9456177,3.921906948,2.22299242,11668.29102,11645.40332,,,
589824,504.929657,2.781626701,2.204272747,12705.85742,12841.7334,,,
409600,9642.366211,2.781626701,3.641660213,12705.85742,10080.16895,,,
589824,9487.362305,2.204272747,2.259779215,12841.7334,9888.068359,,,
16384,844.1848755,1.831968546,2.207889795,15799.47168,15075.21387,,,
65536,224.4974365,2.736148834,2.258431673,10058.57422,9890.15332,,,
49152,133.8381958,2.93966794,2.182139397,14292.23438,14368.61133,,,
32768,500.3470459,4.289767742,2.230640411,9659.735352,9466.787109,,,
98304,317.9065552,2.977728367,2.204779625,14202.99512,14493.86328,,,
491520,359.9249878,3.423543453,2.24148345,15980.97656,15666.61719,,,
573440,1512.318237,4.378827095,2.310549021,15741.45117,15499.22168,,,
147456,183.9216309,3.622226954,2.179519176,13137.85449,13242.7041,,,
393216,413.9781799,1.906851411,2.187920094,17283.29688,17218.07813,,,
114688,1065.945679,5.262754917,2.217389107,12127.7832,11944.32813,,,
32768,867.4997559,2.067020655,2.135479212,15116.99414,15753.27051,,,
704512,569.0794678,5.534862041,2.226947308,15128.43164,15346.62305,,,
81920,999.2654419,2.209263802,2.238053799,13420.47656,14197.20898,,,
245760,634.8234253,6.664363384,2.145584583,11977.2168,11707.78027,,,
16384,938.5066528,2.813365936,2.235747576,17013.61719,16930.50391,,,
81920,133.3476563,2.361507893,2.303838253,11068.53027,10944.31836,,,
16384,332.6653442,2.116196632,2.272989511,16629.22266,16752.24609,,,
49152,687.7846069,3.67113018,2.19850421,3857.432617,3707.770508,,,
376832,972.2229004,1.075951099,2.18895936,10618.93848,11185.60254,,,
49152,582.4467163,1.606606245,2.253182411,5915.224609,5524.423828,,,
180224,760.9747925,3.854169369,2.241564035,12061.80859,11632.4082,,,
229376,163.2687836,2.067903996,2.265588999,5427.44043,5274.100098,,,
16384,731.001709,5.261434555,2.221930265,11538.08984,11232.61035,,,
278528,519.3076172,6.143986225,2.218038321,9134.242188,8742.334961,,,
98304,33.9968338,3.458142757,2.226310253,16158.05566,16142.47168,,,
49152,417.6939697,2.012545586,5.206058025,11423.39258,11505.38672,,,
262144,449.1910706,1.787859559,2.188431978,12260.47168,12619.89063,,,
196608,129.013916,3.308046341,2.238705635,15932.8877,15981.48926,,,
245760,684.4238281,3.780538321,2.257682562,16337.29492,16140.47754,,,
327680,80.78301239,6.356742859,2.187109947,15769.47168,15718.21387,,,
327680,293.5435486,2.575726509,2.015966654,17352.51953,17394.125,,,
720896,310.6182251,3.289982796,2.196620226,5683.716309,5725.866211,,,
131072,180.7697906,2.648121119,2.28284812,14166.07715,14034.39063,,,
262144,446.0583496,1.601601124,2.220115185,13629.31738,13299.42578,,,
32768,538.2754517,3.408081532,2.338892221,15463.66406,15043.78125,,,
65536,53.69713211,3.625925779,2.326138735,12319.97754,12316.05859,,,
163840,839.09198,2.667875051,2.17579484,9398.061523,8882.15332,,,
262144,698.3746338,5.270695686,2.184195995,15807.0957,15290.17773,,,
131072,202.8154144,2.032192707,2.177405357,14082.33984,13925.33691,,,
98304,466.8597107,5.732813358,2.249958038,17085.13867,17156.55859,,,
524288,851.6178589,2.668274164,2.26238203,5056.601074,4757.143066,,,
32768,574.1008301,1.658671737,2.238194227,14316.70508,13760.42871,,,
65536,295.4367371,2.920097113,2.294642687,16337.06055,16566.49219,,,
229376,182.2965546,2.991880894,1.921999574,17400,17400,,,
131072,259.7558899,3.393714905,2.186541319,10669.58789,10451.45703,,,
425984,997.7391968,1.777912021,2.160634995,7982.51123,7546.399414,,,
196608,490.532959,2.114145994,2.30309248,14325.77246,14262.43262,,,
262144,113.3268814,4.015711308,2.273792028,12582.94434,12668.32422,,,
360448,800.8235474,2.311981678,2.20000124,15705.41113,16190.45996,,,
294912,184.6372681,5.665914536,2.261722088,17400,17324.69531,,,
1048576,32980.36328,5.665914536,2.382423639,17400,17059.69922,,,
229376,15733.90137,5.665914536,2.609869242,17400,10069.22656,,,
425984,15419.78027,5.665914536,2.253773212,17400,10105.97656,,,
753664,32860.30078,2.261722088,2.382423639,17324.69531,17059.69922,,,
131072,15442.6748,2.261722088,2.253773212,17324.69531,10105.97656,,,
131072,637.3935547,6.31469202,2.338717699,15999.8584,16361.23535,,,
393216,239.8177338,2.81193924,2.277562857,4620.028809,4395.576172,,,
98304,819.7427368,3.518209219,2.184084654,4576.120605,4781.363281,,,
32768,535.0581665,2.887216091,2.355508327,11969.5752,11783.49902,,,
163840,506.6774292,2.110948086,2.323235273,16978.82031,16545.97852,,,
65536,238.5792084,4.166786194,2.22341466,14378.72168,14218.71094,,,
163840,553.3215942,1.37910068,2.183819771,15468.76563,15742.46875,,,
327680,794.9484863,3.197093964,2.304949999,14623.21875,14257.96289,,,
360448,956.5338745,3.764715195,2.275076628,9080.921875,9476.504883,,,
98304,791.1943359,3.132184267,2.321505785,10865.60059,11078.79102,,,
65536,559.9082031,1.813988686,2.285888672,7087.371094,7241.646973,,,
393216,756.6512451,3.218906164,2.317277431,15733.37793,15605.18555,,,
131072,236.5596313,3.047201872,2.276476622,16716.35352,16555.15625,,,
98304,216.7895355,2.834857702,2.168195486,10001.35254,9963.53125,,,
360448,194.1393738,2.370322466,1.011560678,17400,17400,,,
327680,190.1721344,4.735365391,2.407136917,17191.57227,17041.3418,,,
196608,195.1947784,5.444363117,2.253432035,10320.00488,10242.78125,,,
131072,552.802124,2.525459051,2.205748081,13997.37793,14151.87988,,,
131072,160.973114,3.222169399,2.288809299,11776.04785,11857.73926,,,
163840,335.3521729,5.349234581,2.292142391,17127.97656,17156.52539,,,
688128,205.9969635,5.343324184,2.328729391,14902.7959,15011.01758,,,
131072,111.0011902,3.788675547,2.147520781,13376.71094,13485.54492,,,
98304,682.5419312,1.629806042,2.295822859,14600.58887,14695.94531,,,
163840,104.6245956,3.208435297,2.321625948,9059.589844,9136.375,,,
262144,358.0768433,2.805979967,2.179644585,13673.17188,13767.14551,,,
131072,388.0586243,1.564626575,2.22948885,6893.432129,7070.193359,,,
163840,235.736618,4.057350159,2.166926146,13623.59961,13469.61426,,,
32768,475.7749634,2.724856615,2.186475515,15639.18652,15493.25098,,,
65536,237.9077454,4.376925468,2.337963581,17376.29688,17167.32227,,,
131072,270.0198669,6.843946457,2.315157175,14024.37012,14123.22656,,,
163840,638.9399414,2.172269344,2.255526781,8491.607422,7951.980469,,,
360448,97.91364288,6.938073158,2.25502038,9637.692383,9612.59668,,,
32768,238.4908905,3.471935511,2.333907127,14603.53906,14491.07031,,,
65536,420.2462769,4.487036705,2.177839279,17400,17256.45703,,,
622592,508.9825439,2.541793585,2.256757736,13804.47949,13893.72754,,,
294912,398.469635,4.042107582,2.346351147,17387.25586,17071.125,,,
163840,229.8435059,1.768880844,2.192386627,17181.59766,17182.20703,,,
229376,165.9221191,4.916082859,2.246819973,16579.88281,16549.81641,,,
131072,400.6934509,4.015625477,2.253289223,16690.83398,16594.07422,,,
262144,371.4586182,4.735871315,2.256271124,16474.12305,16425.23633,,,
65536,379.5777283,2.29845953,2.282976389,16689.20703,16723.53516,,,
65536,215.0864868,5.272283554,2.150025129,14351.61719,14390.17285,,,
163840,297.2067261,3.67620182,2.230711699,15803.2959,15931.89355,,,
425984,686.1494751,3.156972885,2.191616058,14822.74805,15299.12793,,,
327680,538.0978394,3.178446293,2.219602823,15534.08691,15104.72559,,,
1015808,397.9449158,3.372061729,2.275149822,7892.624512,7620.618652,,,
786432,1444.284424,3.167658567,2.266633987,13218.20313,13204.19238,,,
524288,235.2163239,3.190515995,2.251468897,7259.95166,7159.821289,,,
327680,368.1647339,3.670708179,2.292482853,7772.205566,7671.495117,,,
720896,185.939209,2.175743103,1.876602411,17268.9375,17400,,,
524288,345.1331177,4.134012222,2.269630194,15949.90625,15635.49707,,,
65536,436.5658569,3.072977066,2.241899967,16334.72852,16636.70117,,,
131072,315.2957458,4.876390457,2.286635876,11803.36914,11940.68848,,,
196608,345.4706726,5.458203793,2.214414835,8331.530273,8461.62793,,,
